"","name","price","rating"
"1","Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","1,899","4.6 out of 5 stars"
"2","Apple EarPods with Lightning Connector","1,699","4.3 out of 5 stars"
"3","Apple AirPods (2nd Generation)","9,999","4.4 out of 5 stars"
"4","New Apple AirPods Pro with MagSafe Charging Case","20,341","4.4 out of 5 stars"
"5","Apple iPhone 12 (128GB) - Blue","59,900","4.6 out of 5 stars"
"6","Apple EarPods with 3.5mm Headphone Plug","1,529","4.2 out of 5 stars"
"7","Apple iPhone 13 (128GB) - Midnight","71,990","4.6 out of 5 stars"
"8","Apple iPhone 13 (128GB) - Blue","71,990","4.6 out of 5 stars"
"9","Apple iPhone 13 (128GB) - Starlight","71,990","4.6 out of 5 stars"
"10","Apple iPhone 12 (64GB) - Blue","54,900","4.6 out of 5 stars"
"11","Apple iPhone 12 (128GB) - Black","60,900","4.6 out of 5 stars"
"12","New Apple AirPods (3rd Generation)","17,400","4.2 out of 5 stars"
"13","Apple iPhone 13 (128GB) - Pink","71,990","4.6 out of 5 stars"
"14","Apple Watch Magnetic Charging Cable (1 m)","1,741","4.3 out of 5 stars"
"15","Apple iPhone 12 (128GB) - White","60,990","4.6 out of 5 stars"
"16","New Apple AirTag","3,190","4.4 out of 5 stars"
"17","Apple 12W USB Power Adapter (for iPhone, iPad, Apple Watch)","1,700","4.6 out of 5 stars"
"18","Apple iPhone 12 (64GB) - Black","55,900","4.6 out of 5 stars"
"19","Apple iPhone 13 (256GB) - Blue","84,900","4.6 out of 5 stars"
"20","Apple Pencil Tips - 4 pack","1,138","4.6 out of 5 stars"
"21","Apple iPhone 13 (128GB) - (Product) RED","71,990","4.6 out of 5 stars"
"22","Apple Watch Series 7 (GPS, 45mm) - Midnight Aluminium Case with Midnight Sport Band - Regular","42,630","4.6 out of 5 stars"
"23","Apple iPhone 13 (256GB) - Midnight","80,990","4.6 out of 5 stars"
"24","Apple Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular","31,250","4.7 out of 5 stars"
